supercategory,id,name
person,1,person
vehicle,2,bicycle
vehicle,3,car
vehicle,4,motorcycle
vehicle,5,airplane
vehicle,6,bus
vehicle,7,train
vehicle,8,truck
vehicle,9,boat
outdoor,10,traffic light
outdoor,11,fire hydrant
outdoor,12,stop sign
outdoor,13,parking meter
outdoor,14,bench
animal,15,bird
animal,16,cat
animal,17,dog
animal,18,horse
animal,19,sheep
animal,20,cow
animal,21,elephant
animal,22,bear
animal,23,zebra
animal,24,giraffe
accessory,25,backpack
accessory,26,umbrella
accessory,27,handbag
accessory,28,tie
accessory,29,suitcase
sports,30,frisbee
sports,31,skis
sports,32,snowboard
sports,33,sports ball
sports,34,kite
sports,35,baseball bat
sports,36,baseball glove
sports,37,skateboard
sports,38,surfboard
sports,39,tennis racket
kitchen,40,bottle
kitchen,41,wine glass
kitchen,42,cup
kitchen,43,fork
kitchen,44,knife
kitchen,45,spoon
kitchen,46,bowl
food,47,banana
food,48,apple
food,49,sandwich
food,50,orange
food,51,broccoli
food,52,carrot
food,53,hot dog
food,54,pizza
food,55,donut
food,56,cake
furniture,57,chair
furniture,58,couch
furniture,59,potted plant
furniture,60,bed
furniture,61,dining table
furniture,62,toilet
electronic,63,tv
electronic,64,laptop
electronic,65,mouse
electronic,66,remote
electronic,67,keyboard
electronic,68,cell phone
appliance,69,microwave
appliance,70,oven
appliance,71,toaster
appliance,72,sink
appliance,73,refrigerator
indoor,74,book
indoor,75,clock
indoor,76,vase
indoor,77,scissors
indoor,78,teddy bear
indoor,79,hair drier
indoor,80,toothbrush
